Survey,Site,Occasion,DO
1,KFB_UPS,1,94.50
2,KFS_MID,1,99.30
3,KFS_DNS,1,101.00
4,MIB_UPS,1,95.10
5,MIB_MID,1,102.10
6,MIB_DNS,1,107.40
7,FUB_UPS,1,95.50
8,FUB_MID,1,98.50
9,FUB_DNS,1,97.90
10,CAB_UPS,1,101.40
11,CAB_DNS,1,105.50
12,PSB_UPS,1,93.40
13,PSB_DNS,1,94.40
14,GUN_UPS,1,99.10
15,GUN_DNS,1,107.70
16,KFB_UPS,2,98.70
17,KFS_MID,2,98.80
18,KFS_DNS,2,99.60
19,MIB_UPS,2,104.10
20,MIB_MID,2,105.00
21,MIB_DNS,2,115.30
22,FUB_UPS,2,97.50
23,FUB_MID,2,99.40
24,FUB_DNS,2,97.90
25,CAB_UPS,2,110.00
26,CAB_DNS,2,109.20
27,PSB_UPS,2,100.30
28,PSB_DNS,2,97.90
29,GUN_UPS,2,110.40
30,GUN_DNS,2,112.90
31,KFB_UPS,3,108.70
32,KFS_MID,3,105.90
33,KFS_DNS,3,107.60
34,MIB_UPS,3,98.90
35,MIB_MID,3,94.80
36,MIB_DNS,3,96.60
37,FUB_UPS,3,99.30
38,FUB_MID,3,103.00
39,FUB_DNS,3,103.80
40,CAB_UPS,3,107.70
41,CAB_DNS,3,114.50
42,PSB_UPS,3,98.40
43,PSB_DNS,3,95.30
44,GUN_UPS,3,114.60
45,GUN_DNS,3,111.50
46,KFB_UPS,4,100.20
47,KFS_MID,4,101.40
48,KFS_DNS,4,101.60
49,MIB_UPS,4,104.90
50,MIB_MID,4,110.50
51,MIB_DNS,4,112.70
52,FUB_UPS,4,97.30
53,FUB_MID,4,104.00
54,FUB_DNS,4,100.10
55,CAB_UPS,4,94.10
56,CAB_DNS,4,97.00
57,PSB_UPS,4,97.50
58,PSB_DNS,4,99.80
59,GUN_UPS,4,106.70
60,GUN_DNS,4,115.10
61,KFB_UPS,5,96.00
62,KFS_MID,5,112.30
63,KFS_DNS,5,112.40
64,MIB_UPS,5,99.80
65,MIB_MID,5,106.40
66,MIB_DNS,5,110.20
67,FUB_UPS,5,103.50
68,FUB_MID,5,115.30
69,FUB_DNS,5,105.10
70,CAB_UPS,5,108.50
71,CAB_DNS,5,110.50
72,PSB_UPS,5,104.40
73,PSB_DNS,5,100.80
74,GUN_UPS,5,116.50
75,GUN_DNS,5,115.60
76,KFB_UPS,6,104.70
77,KFS_MID,6,105.50
78,KFS_DNS,6,116.10
79,MIB_UPS,6,114.30
80,MIB_MID,6,105.80
81,MIB_DNS,6,117.80
82,FUB_UPS,6,101.90
83,FUB_MID,6,108.00
84,FUB_DNS,6,109.80
85,CAB_UPS,6,115.40
86,CAB_DNS,6,113.20
87,PSB_UPS,6,102.00
88,PSB_DNS,6,102.00
89,GUN_UPS,6,99.30
90,GUN_DNS,6,118.50
91,KFB_UPS,7,103.40
92,KFS_MID,7,102.78
93,KFS_DNS,7,104.90
94,MIB_UPS,7,98.80
95,MIB_MID,7,96.70
96,MIB_DNS,7,108.40
97,FUB_UPS,7,99.40
98,FUB_MID,7,99.70
99,FUB_DNS,7,109.40
100,CAB_UPS,7,105.60
101,CAB_DNS,7,102.30
102,PSB_UPS,7,99.20
103,PSB_DNS,7,101.80
104,GUN_UPS,7,127.10
105,GUN_DNS,7,124.30
106,KFB_UPS,8,105.20
107,KFS_MID,8,110.40
108,KFS_DNS,8,112.50
109,MIB_UPS,8,109.70
110,MIB_MID,8,105.60
111,MIB_DNS,8,124.30
112,FUB_UPS,8,101.90
113,FUB_MID,8,105.30
114,FUB_DNS,8,110.10
115,CAB_UPS,8,117.50
116,CAB_DNS,8,118.30
117,PSB_UPS,8,103.40
118,PSB_DNS,8,102.80
119,GUN_UPS,8,111.80
120,GUN_DNS,8,126.20
121,KFB_UPS,9,105.50
122,KFS_MID,9,104.30
123,KFS_DNS,9,103.10
124,MIB_UPS,9,114.10
125,MIB_MID,9,114.80
126,MIB_DNS,9,122.60
127,FUB_UPS,9,105.00
128,FUB_MID,9,107.20
129,FUB_DNS,9,106.40
130,CAB_UPS,9,120.90
131,CAB_DNS,9,123.30
132,PSB_UPS,9,109.20
133,PSB_DNS,9,105.40
134,GUN_UPS,9,122.40
135,GUN_DNS,9,128.50
136,KFB_UPS,10,105.60
137,KFS_MID,10,109.20
138,KFS_DNS,10,107.60
139,MIB_UPS,10,109.30
140,MIB_MID,10,102.50
141,MIB_DNS,10,96.80
142,FUB_UPS,10,103.60
143,FUB_MID,10,107.50
144,FUB_DNS,10,108.90
145,CAB_UPS,10,
146,CAB_DNS,10,
147,PSB_UPS,10,93.90
148,PSB_DNS,10,94.30
149,GUN_UPS,10,123.70
150,GUN_DNS,10,131.50
151,KFB_UPS,11,107.30
152,KFS_MID,11,106.80
153,KFS_DNS,11,107.00
154,MIB_UPS,11,119.30
155,MIB_MID,11,120.60
156,MIB_DNS,11,130.20
157,FUB_UPS,11,110.00
158,FUB_MID,11,108.50
159,FUB_DNS,11,107.00
160,CAB_UPS,11,
161,CAB_DNS,11,
162,PSB_UPS,11,114.50
163,PSB_DNS,11,111.70
164,GUN_UPS,11,120.10
165,GUN_DNS,11,133.10
