Survey,Site,Occasion,Cnt1,Cnt4,Cnt7,Cnt10,Cnt13,Cnt16,Cnt19,Cnt22,Cnt25,Cnt28,Cnt31
1,KFB_UPS,1,0,0,0,0,0,0,0,0,0,0,0
2,KFS_MID,1,0,0,0,0,0,0,0,0,0,0,0
3,KFS_DNS,1,0,0,0,0,1,1,1,1,1,1,2
4,MIB_UPS,1,14,16,17,14,16,14,12,13,13,11,12
5,MIB_MID,1,16,19,18,16,17,13,16,17,18,12,12
6,MIB_DNS,1,4,8,6,4,9,16,5,6,10,11,9
7,FUB_UPS,1,0,0,0,0,0,0,0,0,0,0,0
8,FUB_MID,1,6,11,10,14,11,13,16,13,17,13,16
9,FUB_DNS,1,0,11,9,10,11,11,12,7,9,9,8
10,CAB_UPS,1,0,0,0,0,0,0,0,0,0,0,0
11,CAB_DNS,1,0,0,0,0,0,0,0,0,0,0,0
12,PSB_UPS,1,0,1,0,0,2,0,0,1,0,0,0
13,PSB_DNS,1,4,2,5,2,0,0,0,2,0,0,0
14,GUN_UPS,1,0,0,0,0,0,0,0,0,0,0,0
15,GUN_DNS,1,0,0,0,0,0,0,0,0,0,0,0
16,KFB_UPS,2,0,0,0,0,0,0,0,0,0,0,0
17,KFS_MID,2,5,3,2,2,3,3,3,2,2,2,0
18,KFS_DNS,2,2,2,1,1,1,1,1,1,1,1,1
19,MIB_UPS,2,5,9,8,14,5,6,11,3,4,6,3
20,MIB_MID,2,0,0,0,0,0,4,0,0,0,0,0
21,MIB_DNS,2,12,7,11,12,12,8,19,11,14,18,12
22,FUB_UPS,2,5,5,8,9,6,16,22,9,19,25,33
23,FUB_MID,2,8,22,25,22,25,15,18,24,17,19,22
24,FUB_DNS,2,24,17,25,15,14,19,14,10,10,7,10
25,CAB_UPS,2,0,0,0,0,0,0,0,0,0,0,0
26,CAB_DNS,2,0,0,0,0,0,0,0,0,0,0,0
27,PSB_UPS,2,6,2,8,12,6,4,4,8,10,11,6
28,PSB_DNS,2,9,14,11,12,13,15,17,15,9,9,7
29,GUN_UPS,2,0,0,0,0,0,0,0,0,0,0,0
30,GUN_DNS,2,0,0,0,0,0,0,0,0,0,0,0
31,KFB_UPS,3,0,0,0,0,0,0,0,0,0,0,0
32,KFS_MID,3,1,3,4,4,4,4,4,4,4,4,4
33,KFS_DNS,3,0,0,0,0,0,0,0,0,0,0,0
34,MIB_UPS,3,1,1,1,1,1,1,1,1,1,1,1
35,MIB_MID,3,1,3,2,2,1,2,2,1,2,1,1
36,MIB_DNS,3,0,0,0,0,0,0,0,0,0,0,0
37,FUB_UPS,3,0,0,0,0,0,0,0,0,0,0,0
38,FUB_MID,3,23,19,26,19,13,21,22,22,20,26,24
39,FUB_DNS,3,6,9,5,5,20,9,9,12,14,11,11
40,CAB_UPS,3,0,0,0,0,0,0,0,0,0,0,0
41,CAB_DNS,3,0,0,0,0,0,0,0,0,0,0,0
42,PSB_UPS,3,0,0,0,0,0,1,1,1,1,1,1
43,PSB_DNS,3,0,0,0,0,0,0,0,0,0,0,0
44,GUN_UPS,3,0,0,0,0,0,0,0,0,0,0,0
45,GUN_DNS,3,0,0,0,0,0,0,0,0,0,0,0
46,KFB_UPS,4,0,0,0,0,0,0,0,0,0,0,0
47,KFS_MID,4,0,0,0,0,0,0,0,0,0,0,0
48,KFS_DNS,4,0,0,0,0,0,0,0,0,0,0,0
49,MIB_UPS,4,5,8,9,9,10,11,10,10,10,11,9
50,MIB_MID,4,0,0,0,3,0,0,0,0,0,0,1
51,MIB_DNS,4,0,0,0,1,0,0,0,0,0,0,0
52,FUB_UPS,4,17,18,20,22,18,10,18,24,26,10,22
53,FUB_MID,4,19,19,19,7,14,26,22,24,24,19,13
54,FUB_DNS,4,12,11,14,12,10,24,10,13,16,14,13
55,CAB_UPS,4,0,0,0,0,0,0,0,0,0,0,0
56,CAB_DNS,4,0,0,0,0,0,0,0,0,0,0,0
57,PSB_UPS,4,0,0,0,0,0,0,0,0,0,0,0
58,PSB_DNS,4,1,9,6,4,3,10,8,1,8,5,3
59,GUN_UPS,4,0,0,0,0,0,0,0,0,0,0,0
60,GUN_DNS,4,0,0,0,0,0,0,0,0,0,0,0
61,KFB_UPS,5,0,0,0,0,0,0,0,0,0,0,0
62,KFS_MID,5,10,14,13,11,13,16,19,18,15,17,15
63,KFS_DNS,5,7,7,9,9,13,11,11,12,13,16,12
64,MIB_UPS,5,1,1,0,0,0,0,0,0,0,0,0
65,MIB_MID,5,0,0,0,0,0,0,0,0,0,1,1
66,MIB_DNS,5,0,0,0,0,0,0,0,0,0,0,0
67,FUB_UPS,5,0,2,4,2,2,2,0,0,1,3,2
68,FUB_MID,5,7,19,17,23,21,14,15,13,15,12,18
69,FUB_DNS,5,10,1,1,3,1,4,2,8,6,6,0
70,CAB_UPS,5,0,0,0,0,0,0,0,0,0,0,0
71,CAB_DNS,5,0,0,0,0,0,0,0,0,0,0,0
72,PSB_UPS,5,4,0,0,0,1,2,4,0,1,0,0
73,PSB_DNS,5,0,0,0,0,0,0,0,0,0,0,0
74,GUN_UPS,5,0,0,0,0,0,0,0,0,0,0,0
75,GUN_DNS,5,0,0,0,0,0,0,0,0,0,0,0
76,KFB_UPS,6,1,1,0,1,0,1,2,2,2,2,2
77,KFS_MID,6,15,11,9,8,15,11,17,13,17,13,11
78,KFS_DNS,6,9,8,7,9,6,14,13,13,6,11,13
79,MIB_UPS,6,0,0,0,0,0,0,1,1,1,2,2
80,MIB_MID,6,7,10,9,9,9,15,18,12,14,18,15
81,MIB_DNS,6,0,0,0,0,0,0,0,0,0,0,0
82,FUB_UPS,6,9,12,12,9,15,14,11,14,13,13,16
83,FUB_MID,6,4,8,1,5,7,2,3,5,3,7,5
84,FUB_DNS,6,38,33,22,29,17,26,17,29,29,36,37
85,CAB_UPS,6,0,0,0,0,0,0,0,0,0,0,0
86,CAB_DNS,6,0,0,0,0,0,0,0,0,0,0,0
87,PSB_UPS,6,0,0,1,1,3,1,4,0,2,4,2
88,PSB_DNS,6,0,0,0,2,0,0,2,7,8,4,2
89,GUN_UPS,6,0,0,0,0,0,0,0,0,0,0,0
90,GUN_DNS,6,0,0,0,0,0,0,0,0,0,0,0
91,KFB_UPS,7,0,0,0,0,0,0,0,0,0,0,0
92,KFS_MID,7,0,0,0,0,0,1,4,5,2,3,5
93,KFS_DNS,7,2,1,0,0,0,5,11,9,10,8,9
94,MIB_UPS,7,9,9,7,9,7,4,3,2,1,2,0
95,MIB_MID,7,15,15,15,15,15,13,15,15,15,15,12
96,MIB_DNS,7,0,0,0,0,0,0,0,0,0,0,0
97,FUB_UPS,7,29,29,2,24,12,25,33,29,30,32,30
98,FUB_MID,7,6,12,6,3,11,5,10,14,11,12,13
99,FUB_DNS,7,2,10,30,40,1,27,24,35,25,31,36
100,CAB_UPS,7,0,0,0,0,0,0,0,0,0,0,0
101,CAB_DNS,7,0,0,0,0,0,0,0,0,0,0,0
102,PSB_UPS,7,1,0,0,0,0,0,0,0,0,0,0
103,PSB_DNS,7,0,0,0,0,0,0,0,0,0,0,0
104,GUN_UPS,7,0,0,0,0,0,0,0,0,0,0,0
105,GUN_DNS,7,0,0,0,0,0,0,0,0,0,0,0
106,KFB_UPS,8,0,0,0,0,0,0,0,0,0,0,0
107,KFS_MID,8,0,0,2,2,4,5,0,3,4,4,4
108,KFS_DNS,8,0,0,0,0,1,0,0,3,1,1,1
109,MIB_UPS,8,0,0,0,0,0,0,0,0,0,0,0
110,MIB_MID,8,0,0,0,0,0,0,0,0,0,0,0
111,MIB_DNS,8,0,0,0,0,0,0,0,0,0,0,0
112,FUB_UPS,8,3,13,6,11,2,12,16,16,25,31,39
113,FUB_MID,8,25,19,28,43,20,20,18,26,23,23,22
114,FUB_DNS,8,0,0,0,0,0,0,0,0,0,1,5
115,CAB_UPS,8,0,0,0,0,0,0,0,0,0,0,0
116,CAB_DNS,8,0,0,0,0,0,0,0,0,0,0,0
117,PSB_UPS,8,0,0,0,0,0,0,0,0,0,0,0
118,PSB_DNS,8,0,0,0,0,0,0,0,0,0,0,0
119,GUN_UPS,8,0,0,0,0,0,0,0,0,0,0,0
120,GUN_DNS,8,0,0,0,0,0,0,0,0,0,0,0
121,KFB_UPS,9,0,0,0,0,0,0,0,0,0,0,0
122,KFS_MID,9,0,0,0,0,0,0,0,0,0,0,0
123,KFS_DNS,9,0,0,0,0,0,0,0,0,0,0,0
124,MIB_UPS,9,0,0,0,0,0,0,0,0,0,0,0
125,MIB_MID,9,0,0,0,0,0,0,0,0,0,0,0
126,MIB_DNS,9,0,0,0,0,0,0,0,0,0,0,0
127,FUB_UPS,9,1,4,1,2,0,0,11,0,8,0,2
128,FUB_MID,9,20,23,22,22,19,27,33,29,24,35,34
129,FUB_DNS,9,26,7,16,14,9,20,11,15,30,23,21
130,CAB_UPS,9,0,0,0,0,0,0,0,0,0,0,0
131,CAB_DNS,9,0,0,0,0,0,0,0,0,0,0,0
132,PSB_UPS,9,0,0,0,0,0,0,0,0,0,0,0
133,PSB_DNS,9,0,0,0,0,0,0,0,0,0,0,0
134,GUN_UPS,9,0,0,0,0,0,0,0,0,0,0,0
135,GUN_DNS,9,0,0,0,0,0,0,0,0,0,0,0
136,KFB_UPS,10,0,0,0,0,0,0,0,0,0,0,0
137,KFS_MID,10,0,0,0,0,0,0,0,0,0,0,0
