Survey,Site,Occasion,Cnt1,Cnt2,Cnt3,Cnt4,Cnt5,Cnt6,Cnt7,Cnt8,Cnt9,Cnt10,Cnt11,Cnt12,Cnt13,Cnt14,Cnt15,Cnt16,Cnt17,Cnt18,Cnt19,Cnt20,Cnt21,Cnt22,Cnt23,Cnt24,Cnt25,Cnt26,Cnt27,Cnt28,Cnt29,Cnt30,Cnt31
1,KFB_UPS,1,149.9940476,152.2936508,150.9404762,154.7857143,160.422619,146.3214286,160.4980159,158.0972222,155.531746,142.7281746,142.7281746,145.6527778,141.5734127,138.6686508,132.9166667,132.0634921,133.8313492,139.1130952,144.625,139.7559524,137.5734127,141.4285714,139.6428571,138.0218254,137.625,138.2361111,138.2837302,137.7738095,137.4861111,138.375,137.9305556
2,KFS_MID,1,130.2162698,126.8253968,134.5734127,141.9404762,143.6825397,145.5634921,144.1130952,144.1507937,141.6944444,140.7301587,139.8492063,141.5099206,138.0515873,129.8789683,137.6527778,137.8333333,138.7281746,138.4543651,138.0833333,138.3730159,135.3293651,140.4325397,134.8789683,136.3650794,134.7103175,136.5853175,134.125,133.093254,132.1388889,139.9861111,141.0892857
3,KFS_DNS,1,126.6289683,121.8253968,135.3551587,154.8630952,144.3829365,160.0376984,157.4503968,155.0416667,157.7083333,145.1884921,148.5079365,144.3769841,145.7142857,125.3630952,143.8134921,143.8134921,143.8134921,143.8134921,154.8710317,153.7083333,156.5714286,148.0734127,155.6686508,156.8571429,146.9603175,145.1448413,138.6587302,136.1031746,136.5753968,154.5456349,149.1944444
4,MIB_UPS,1,142.9583333,134.2916667,142.0257937,137.2797619,137.0992063,135.906746,138.25,138.8789683,147.609127,138.5853175,137.9702381,138.8710317,138.8710317,139.827381,139.281746,139.1071429,139.6924603,138.3948413,138.5138889,139.9662698,139.0992063,140.8234127,150.6289683,139.5218254,140.9642857,154.5257937,155.4960317,154.2638889,153.0079365,152.5099206,153.4801587
5,MIB_MID,1,142.1210317,134.9365079,129.25,136.9742063,136.9742063,137.3333333,134.9742063,134.9742063,137.7638889,136.6150794,136.6150794,137.5376984,142.2242063,143.5039683,143.5039683,144.4464286,144.2718254,138.5992063,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587,138.8551587
6,MIB_DNS,1,108.4484127,108.1468254,104.0119048,105.8214286,107.3333333,105.922619,108.0674603,108.093254,107.0297619,106.4484127,107.8551587,104.6170635,104.0972222,104.1884921,104.1884921,104.1884921,104.1884921,104.1884921,110.5416667,108.4027778,105.5218254,108.2142857,110.031746,108.577381,107.9484127,112.4980159,106.5238095,107.6150794,109.3511905,106.7718254,112.2103175
7,FUB_UPS,1,133.5793651,125.5,126.0119048,126.1170635,127.1468254,127.5099206,127.1706349,125.6150794,125.7936508,125.4107143,125.4642857,126.0813492,127.422619,127.2619048,129.4424603,129.2559524,127.9126984,127.9126984,128.6964286,128.9305556,130.0555556,130.0198413,130.5337302,128,127.452381,129.3194444,131.1289683,131.2916667,132.0337302,132.031746,131.9206349
8,FUB_MID,1,137.0039683,130.7619048,131.7956349,131.0952381,131.5238095,131.1230159,125.3869048,128.4444444,130.5218254,131.4603175,131.922619,129.6805556,124.9543651,130.0853175,122.172619,120.7261905,120.8194444,122.4543651,130.422619,129.0674603,129.1170635,129.1190476,126.640873,126.3551587,125.343254,124.7460317,123.3988095,123.2361111,122.1845238,121.9861111,123.1388889
9,FUB_DNS,1,135.2698413,133.0535714,132.9623016,132.3928571,131.4900794,131.6686508,132.0396825,132.4761905,131.5376984,131.547619,131.6388889,131.0813492,130.7678571,131.0198413,130.6210317,129.0714286,130.9821429,131.3571429,131.8412698,130.1904762,129.5515873,130.5615079,129.7638889,129.4484127,129.4583333,128.7857143,130.0654762,129.0198413,130.2916667,129.8988095,129.4285714
10,CAB_UPS,1,141.984127,141.0992063,138.8888889,140.1051587,140.8055556,138.2043651,140.234127,139.922619,139.5376984,137.1765873,137.4027778,139.1289683,135.0357143,136.1884921,136.9623016,140.0714286,140.1289683,140.3492063,141.2281746,138.6488095,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413,139.5198413
11,CAB_DNS,1,152.2142857,167.765873,167.5992063,160.5634921,163.3333333,162.4880952,162.515873,161.640873,148.125,147.7440476,145.4404762,139.547619,140.3313492,144.547619,145.1210317,144.4365079,144.5456349,145.0436508,158.6190476,157.7003968,155.9424603,158.077381,158.0019841,159.7460317,143.7757937,154.3095238,156.577381,157.2619048,151.0952381,151.9543651,157.2738095
12,PSB_UPS,1,149.1865079,150.343254,150.0634921,150.5019841,150.3115079,150.0515873,142.7400794,136.1527778,148.2777778,148.3293651,148.0753968,148.031746,139.3809524,142.4920635,143.4325397,142.9900794,144.6924603,145.6230159,136.1746032,133.7261905,126.7043651,133.6488095,130.5595238,124.1607143,124.5079365,126.4563492,126.3353175,126.4920635,133.8650794,125.8313492,125.8015873
13,PSB_DNS,1,155.4484127,155.2440476,155.2261905,154.843254,155.1587302,155.3472222,154.9980159,154.968254,155.0654762,155.1646825,155.0456349,155.2777778,155.0674603,155.077381,155.0238095,154.6150794,154.4325397,154.9007937,154.6884921,154.6428571,154.6428571,150.3392857,150.3392857,149.1130952,148.859127,148.75,150.6289683,149.9424603,148.6646825,149.9662698,149.7837302
14,GUN_UPS,1,104.531746,109.6289683,115.5575397,110.3492063,111.9960317,110.156746,110,110.3968254,112.9365079,108.4404762,111.2718254,109.5654762,109.8392857,111.8214286,109.2757937,111.5436508,109.3888889,108.0337302,110.6150794,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683,109.1289683
15,GUN_DNS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KFB_UPS,2,137.9384921,144.0535714,146.7896825,146.0555556,153.4761905,149.9900794,144.9246032,144.3650794,143.0515873,145.8690476,139.6547619,151.3115079,143.4146825,142.406746,154.390873,141.4345238,143.718254,145.3472222,143.922619,146.5654762,150.7142857,147.968254,141.3134921,144.0952381,140.5257937,140.5257937,141.6448413,134.5873016,133.9543651,133.7361111,131.2599206
17,KFS_MID,2,152.0734127,154.2559524,149.3194444,154.4900794,151.6507937,150.968254,141.1944444,142.3829365,152.3710317,140.984127,140.984127,145.2956349,151.0853175,148.7480159,149.0138889,143.1150794,141.0793651,141.0793651,142.031746,139.922619,142.5734127,143.1369048,143.0396825,143.0039683,137.8611111,138.3670635,143.6111111,134.218254,139.0456349,141.6329365,140.5753968
18,KFS_DNS,2,145.9980159,136.2837302,136.8948413,143.5456349,135.8194444,141.9484127,136.8730159,141.2599206,143.3531746,140.6329365,136.3412698,139.2896825,139.2896825,137.4781746,136.906746,135.5793651,137.0575397,136.9623016,137.5019841,135.0595238,135.547619,135.4801587,134.2301587,133.7916667,132.4722222,132.9186508,142.1666667,133.7619048,133.859127,133.859127,130.7519841
19,MIB_UPS,2,157.3948413,158.5019841,151.5634921,157.5555556,155.1924603,152.7936508,150.5218254,151.0714286,151.7003968,157.8234127,153.6190476,155.9186508,157.1924603,155.8869048,153.4424603,145.2142857,153.9384921,157.4900794,158.4087302,154.0575397,156.4642857,155.3234127,156.1329365,156.8035714,154.5912698,158.4126984,156.5694444,153.3412698,148.6150794,156.2619048,158.4126984
20,MIB_MID,2,152.4543651,144.6388889,135.875,147.0674603,144.4761905,141.8511905,140.2420635,139.7738095,140.797619,148.2440476,142.375,142.6309524,142.7400794,142.5218254,139.5396825,143.4107143,148.5337302,143.968254,151.0436508,142.7579365,145.7757937,151.0059524,148.0595238,146.6190476,149.890873,149.5813492,148.9960317,150.3888889,153.0753968,144.6607143,152.3869048
21,MIB_DNS,2,135.4702381,127.0892857,130.1805556,142.8829365,135.9384921,129.5456349,129.4623016,120.3869048,116.0079365,134.6865079,134.2698413,124.0218254,123.6865079,123,126.5277778,127.7559524,131.1904762,123.6488095,120.1527778,120.7956349,118.1507937,108.8313492,128.9801587,113.6607143,121.5337302,114.8710317,118.4861111,128.343254,112.8174603,122.6111111,113.7202381
22,FUB_UPS,2,151.8988095,143.8650794,143.1884921,142.8492063,141.8710317,142.9444444,142.1547619,143.2599206,119.1111111,141.6706349,142.640873,139.2142857,137.1944444,136.0654762,131.2579365,134.3670635,132.7619048,132.5,127.3333333,123.2480159,129.9206349,129.2361111,118.0615079,113.0595238,124.6150794,124.7698413,123.4603175,123.2539683,122.9642857,123.1071429,122.6111111
