Survey,Site,Occasion,Depth
1,KFB_UPS,1,220
2,KFS_MID,1,515
3,KFS_DNS,1,395
4,MIB_UPS,1,385
5,MIB_MID,1,370
6,MIB_DNS,1,355
7,FUB_UPS,1,510
8,FUB_MID,1,715
9,FUB_DNS,1,860
10,CAB_UPS,1,150
11,CAB_DNS,1,120
12,PSB_UPS,1,375
13,PSB_DNS,1,295
14,GUN_UPS,1,165
15,GUN_DNS,1,230
16,KFB_UPS,2,220
17,KFS_MID,2,460
18,KFS_DNS,2,390
19,MIB_UPS,2,245
20,MIB_MID,2,415
21,MIB_DNS,2,265
22,FUB_UPS,2,435
23,FUB_MID,2,735
24,FUB_DNS,2,940
25,CAB_UPS,2,175
26,CAB_DNS,2,295
27,PSB_UPS,2,450
28,PSB_DNS,2,340
29,GUN_UPS,2,215
30,GUN_DNS,2,145
31,KFB_UPS,3,335
32,KFS_MID,3,435
33,KFS_DNS,3,435
34,MIB_UPS,3,375
35,MIB_MID,3,470
36,MIB_DNS,3,210
37,FUB_UPS,3,430
38,FUB_MID,3,670
39,FUB_DNS,3,960
40,CAB_UPS,3,160
41,CAB_DNS,3,185
42,PSB_UPS,3,820
43,PSB_DNS,3,380
44,GUN_UPS,3,170
45,GUN_DNS,3,210
46,KFB_UPS,4,165
47,KFS_MID,4,510
48,KFS_DNS,4,315
49,MIB_UPS,4,540
50,MIB_MID,4,390
51,MIB_DNS,4,395
52,FUB_UPS,4,735
53,FUB_MID,4,995
54,FUB_DNS,4,950
55,CAB_UPS,4,250
56,CAB_DNS,4,335
57,PSB_UPS,4,365
58,PSB_DNS,4,910
59,GUN_UPS,4,150
60,GUN_DNS,4,175
61,KFB_UPS,5,200
62,KFS_MID,5,750
63,KFS_DNS,5,445
64,MIB_UPS,5,510
65,MIB_MID,5,385
66,MIB_DNS,5,145
67,FUB_UPS,5,530
68,FUB_MID,5,720
69,FUB_DNS,5,860
70,CAB_UPS,5,145
71,CAB_DNS,5,145
72,PSB_UPS,5,960
73,PSB_DNS,5,540
74,GUN_UPS,5,110
75,GUN_DNS,5,225
76,KFB_UPS,6,115
77,KFS_MID,6,410
78,KFS_DNS,6,420
79,MIB_UPS,6,240
80,MIB_MID,6,455
81,MIB_DNS,6,210
82,FUB_UPS,6,450
83,FUB_MID,6,755
84,FUB_DNS,6,920
85,CAB_UPS,6,140
86,CAB_DNS,6,155
87,PSB_UPS,6,775
88,PSB_DNS,6,530
89,GUN_UPS,6,80
90,GUN_DNS,6,205
91,KFB_UPS,7,200
92,KFS_MID,7,425
93,KFS_DNS,7,350
94,MIB_UPS,7,260
95,MIB_MID,7,525
96,MIB_DNS,7,315
97,FUB_UPS,7,530
98,FUB_MID,7,585
99,FUB_DNS,7,675
100,CAB_UPS,7,130
101,CAB_DNS,7,160
102,PSB_UPS,7,850
103,PSB_DNS,7,295
104,GUN_UPS,7,185
105,GUN_DNS,7,215
106,KFB_UPS,8,260
107,KFS_MID,8,430
108,KFS_DNS,8,335
109,MIB_UPS,8,310
110,MIB_MID,8,510
111,MIB_DNS,8,220
112,FUB_UPS,8,580
113,FUB_MID,8,655
114,FUB_DNS,8,850
115,CAB_UPS,8,180
116,CAB_DNS,8,100
117,PSB_UPS,8,885
118,PSB_DNS,8,505
119,GUN_UPS,8,115
120,GUN_DNS,8,185
121,KFB_UPS,9,250
122,KFS_MID,9,440
123,KFS_DNS,9,275
124,MIB_UPS,9,245
125,MIB_MID,9,445
126,MIB_DNS,9,360
127,FUB_UPS,9,585
128,FUB_MID,9,725
129,FUB_DNS,9,940
130,CAB_UPS,9,110
131,CAB_DNS,9,140
132,PSB_UPS,9,905
133,PSB_DNS,9,430
134,GUN_UPS,9,250
135,GUN_DNS,9,165
136,KFB_UPS,10,230
137,KFS_MID,10,355
138,KFS_DNS,10,270
139,MIB_UPS,10,325
140,MIB_MID,10,530
141,MIB_DNS,10,345
142,FUB_UPS,10,700
143,FUB_MID,10,885
144,FUB_DNS,10,870
145,CAB_UPS,10,0
146,CAB_DNS,10,0
147,PSB_UPS,10,800
148,PSB_DNS,10,410
149,GUN_UPS,10,155
150,GUN_DNS,10,150
151,KFB_UPS,11,190
152,KFS_MID,11,370
153,KFS_DNS,11,310
154,MIB_UPS,11,185
155,MIB_MID,11,470
156,MIB_DNS,11,115
157,FUB_UPS,11,655
158,FUB_MID,11,855
159,FUB_DNS,11,980
160,CAB_UPS,11,0
161,CAB_DNS,11,0
162,PSB_UPS,11,805
163,PSB_DNS,11,375
164,GUN_UPS,11,200
165,GUN_DNS,11,150
