Survey,Site,Occasion,ggd
1,KFB_UPS,1,8958.061
2,KFS_MID,1,8958.061
3,KFS_DNS,1,8958.061
4,MIB_UPS,1,8775.906
5,MIB_MID,1,8775.906
6,MIB_DNS,1,8775.906
7,FUB_UPS,1,9093.297
8,FUB_MID,1,9093.297
9,FUB_DNS,1,9093.297
10,CAB_UPS,1,9093.297
11,CAB_DNS,1,9093.297
12,PSB_UPS,1,8775.906
13,PSB_DNS,1,8775.906
14,GUN_UPS,1,8958.061
15,GUN_DNS,1,8958.061
16,KFB_UPS,2,9538.255
17,KFS_MID,2,9538.255
18,KFS_DNS,2,9538.255
19,MIB_UPS,2,9579.564
20,MIB_MID,2,9579.564
21,MIB_DNS,2,9579.564
22,FUB_UPS,2,9750.069
23,FUB_MID,2,9750.069
24,FUB_DNS,2,9750.069
25,CAB_UPS,2,9750.069
26,CAB_DNS,2,9750.069
27,PSB_UPS,2,9579.564
28,PSB_DNS,2,9579.564
29,GUN_UPS,2,9538.255
30,GUN_DNS,2,9538.255
31,KFB_UPS,3,10715.238
32,KFS_MID,3,10715.238
33,KFS_DNS,3,10715.238
34,MIB_UPS,3,10668.647
35,MIB_MID,3,10668.647
36,MIB_DNS,3,10668.647
37,FUB_UPS,3,10938.257
38,FUB_MID,3,10938.257
39,FUB_DNS,3,10938.257
40,CAB_UPS,3,10938.257
41,CAB_DNS,3,10938.257
42,PSB_UPS,3,10668.647
43,PSB_DNS,3,10668.647
44,GUN_UPS,3,10715.238
45,GUN_DNS,3,10715.238
46,KFB_UPS,4,9975.667
47,KFS_MID,4,9975.667
48,KFS_DNS,4,9975.667
49,MIB_UPS,4,9916.813
50,MIB_MID,4,9916.813
51,MIB_DNS,4,9916.813
52,FUB_UPS,4,10238.358
53,FUB_MID,4,10238.358
54,FUB_DNS,4,10238.358
55,CAB_UPS,4,10238.358
56,CAB_DNS,4,10238.358
57,PSB_UPS,4,9916.813
58,PSB_DNS,4,9916.813
59,GUN_UPS,4,9975.667
60,GUN_DNS,4,9975.667
61,KFB_UPS,5,9147.704
62,KFS_MID,5,9147.704
63,KFS_DNS,5,9147.704
64,MIB_UPS,5,8795.274
65,MIB_MID,5,8795.274
66,MIB_DNS,5,8795.274
67,FUB_UPS,5,9494.467
68,FUB_MID,5,9494.467
69,FUB_DNS,5,9494.467
70,CAB_UPS,5,9494.467
71,CAB_DNS,5,9494.467
72,PSB_UPS,5,8795.274
73,PSB_DNS,5,8795.274
74,GUN_UPS,5,9147.704
75,GUN_DNS,5,9147.704
76,KFB_UPS,6,8860.128
77,KFS_MID,6,8860.128
78,KFS_DNS,6,8860.128
79,MIB_UPS,6,7844.371
80,MIB_MID,6,7844.371
81,MIB_DNS,6,7844.371
82,FUB_UPS,6,9023.11
83,FUB_MID,6,9023.11
84,FUB_DNS,6,9023.11
85,CAB_UPS,6,9023.11
86,CAB_DNS,6,9023.11
87,PSB_UPS,6,7844.371
88,PSB_DNS,6,7844.371
89,GUN_UPS,6,8860.128
90,GUN_DNS,6,8860.128
91,KFB_UPS,7,10169.131
92,KFS_MID,7,10169.131
93,KFS_DNS,7,10169.131
94,MIB_UPS,7,8759.666
95,MIB_MID,7,8759.666
96,MIB_DNS,7,8759.666
97,FUB_UPS,7,10190.129
98,FUB_MID,7,10190.129
99,FUB_DNS,7,10190.129
100,CAB_UPS,7,10190.129
101,CAB_DNS,7,10190.129
102,PSB_UPS,7,8759.666
103,PSB_DNS,7,8759.666
104,GUN_UPS,7,10169.131
105,GUN_DNS,7,10169.131
106,KFB_UPS,8,11097.037
107,KFS_MID,8,11097.037
108,KFS_DNS,8,11097.037
109,MIB_UPS,8,9823.06
110,MIB_MID,8,9823.06
111,MIB_DNS,8,9823.06
112,FUB_UPS,8,11051.749
113,FUB_MID,8,11051.749
114,FUB_DNS,8,11051.749
115,CAB_UPS,8,11051.749
116,CAB_DNS,8,11051.749
117,PSB_UPS,8,9823.06
118,PSB_DNS,8,9823.06
119,GUN_UPS,8,11097.037
120,GUN_DNS,8,11097.037
121,KFB_UPS,9,11678.606
122,KFS_MID,9,11678.606
123,KFS_DNS,9,11678.606
124,MIB_UPS,9,10631.235
125,MIB_MID,9,10631.235
126,MIB_DNS,9,10631.235
127,FUB_UPS,9,11724.863
128,FUB_MID,9,11724.863
129,FUB_DNS,9,11724.863
130,CAB_UPS,9,11724.863
131,CAB_DNS,9,11724.863
132,PSB_UPS,9,10631.235
133,PSB_DNS,9,10631.235
134,GUN_UPS,9,11678.606
135,GUN_DNS,9,11678.606
136,KFB_UPS,10,11080.44
137,KFS_MID,10,11080.44
138,KFS_DNS,10,11080.44
139,MIB_UPS,10,10371.046
140,MIB_MID,10,10371.046
141,MIB_DNS,10,10371.046
142,FUB_UPS,10,11292.914
143,FUB_MID,10,11292.914
144,FUB_DNS,10,11292.914
145,CAB_UPS,10,11292.914
146,CAB_DNS,10,11292.914
147,PSB_UPS,10,10371.046
148,PSB_DNS,10,10371.046
149,GUN_UPS,10,11080.44
150,GUN_DNS,10,11080.44
151,KFB_UPS,11,9954.333
152,KFS_MID,11,9954.333
153,KFS_DNS,11,9954.333
154,MIB_UPS,11,9591.068
155,MIB_MID,11,9591.068
156,MIB_DNS,11,9591.068
157,FUB_UPS,11,10221.263
158,FUB_MID,11,10221.263
159,FUB_DNS,11,10221.263
160,CAB_UPS,11,10221.263
161,CAB_DNS,11,10221.263
162,PSB_UPS,11,9591.068
163,PSB_DNS,11,9591.068
164,GUN_UPS,11,9954.333
165,GUN_DNS,11,9954.333
