Survey,Site,Occasion,Tempdiff
1,KFB_UPS,1,5.1
2,KFS_MID,1,4.1
3,KFS_DNS,1,3.5
4,MIB_UPS,1,4.5
5,MIB_MID,1,5.4
6,MIB_DNS,1,1.5
7,FUB_UPS,1,5.4
8,FUB_MID,1,4.3
9,FUB_DNS,1,3.4
10,CAB_UPS,1,0.6
11,CAB_DNS,1,1.6
12,PSB_UPS,1,0.6
13,PSB_DNS,1,0.3
14,GUN_UPS,1,4.5
15,GUN_DNS,1,2.6
16,KFB_UPS,2,3.3
17,KFS_MID,2,2.6
18,KFS_DNS,2,2.3
19,MIB_UPS,2,5.2
20,MIB_MID,2,3.5
21,MIB_DNS,2,1.2
22,FUB_UPS,2,3.6
23,FUB_MID,2,3.3
24,FUB_DNS,2,2.2
25,CAB_UPS,2,0.1
26,CAB_DNS,2,0.2
27,PSB_UPS,2,0.8
28,PSB_DNS,2,1.6
29,GUN_UPS,2,0.7
30,GUN_DNS,2,0.4
31,KFB_UPS,3,3
32,KFS_MID,3,2.6
33,KFS_DNS,3,2
34,MIB_UPS,3,2
35,MIB_MID,3,-0.1
36,MIB_DNS,3,0.3
37,FUB_UPS,3,5.4
38,FUB_MID,3,4.7
39,FUB_DNS,3,4.7
40,CAB_UPS,3,0.1
41,CAB_DNS,3,0.2
42,PSB_UPS,3,0.4
43,PSB_DNS,3,1.7
44,GUN_UPS,3,1.9
45,GUN_DNS,3,2.2
46,KFB_UPS,4,2.6
47,KFS_MID,4,1.9
48,KFS_DNS,4,1.1
49,MIB_UPS,4,3
50,MIB_MID,4,0.2
51,MIB_DNS,4,0.5
52,FUB_UPS,4,4.7
53,FUB_MID,4,2.6
54,FUB_DNS,4,3.3
55,CAB_UPS,4,2.7
56,CAB_DNS,4,2.1
57,PSB_UPS,4,1.6
58,PSB_DNS,4,0.6
59,GUN_UPS,4,3.1
60,GUN_DNS,4,0.3
61,KFB_UPS,5,4.2
62,KFS_MID,5,2.9
63,KFS_DNS,5,2.9
64,MIB_UPS,5,-1.3
65,MIB_MID,5,0.7
66,MIB_DNS,5,0.1
67,FUB_UPS,5,5.7
68,FUB_MID,5,2.7
69,FUB_DNS,5,4.2
70,CAB_UPS,5,1.5
71,CAB_DNS,5,1.5
72,PSB_UPS,5,0.2
73,PSB_DNS,5,1.9
74,GUN_UPS,5,2.2
75,GUN_DNS,5,2.1
76,KFB_UPS,6,3.9
77,KFS_MID,6,3.7
78,KFS_DNS,6,3
79,MIB_UPS,6,2.7
80,MIB_MID,6,-0.5
81,MIB_DNS,6,0.1
82,FUB_UPS,6,5.8
83,FUB_MID,6,4
84,FUB_DNS,6,3.6
85,CAB_UPS,6,0.5
86,CAB_DNS,6,0.8
87,PSB_UPS,6,0.3
88,PSB_DNS,6,1.3
89,GUN_UPS,6,1.9
90,GUN_DNS,6,1.7
91,KFB_UPS,7,2.7
92,KFS_MID,7,2.6
93,KFS_DNS,7,2.1
94,MIB_UPS,7,4.3
95,MIB_MID,7,3.5
96,MIB_DNS,7,1.2
97,FUB_UPS,7,4.9
98,FUB_MID,7,4.5
99,FUB_DNS,7,2
100,CAB_UPS,7,0.1
101,CAB_DNS,7,1.1
102,PSB_UPS,7,0.6
103,PSB_DNS,7,0.3
104,GUN_UPS,7,0.1
105,GUN_DNS,7,-0.2
106,KFB_UPS,8,4.8
107,KFS_MID,8,3.6
108,KFS_DNS,8,2.8
109,MIB_UPS,8,2.8
110,MIB_MID,8,0.5
111,MIB_DNS,8,1
112,FUB_UPS,8,5.5
113,FUB_MID,8,5.1
114,FUB_DNS,8,3.7
115,CAB_UPS,8,0.4
116,CAB_DNS,8,1.1
117,PSB_UPS,8,0.2
118,PSB_DNS,8,0.5
119,GUN_UPS,8,5
120,GUN_DNS,8,1.3
121,KFB_UPS,9,2.3
122,KFS_MID,9,2.1
123,KFS_DNS,9,1.3
124,MIB_UPS,9,4.1
125,MIB_MID,9,2.8
126,MIB_DNS,9,0
127,FUB_UPS,9,6
128,FUB_MID,9,4.6
129,FUB_DNS,9,4.3
130,CAB_UPS,9,-0.3
131,CAB_DNS,9,0.6
132,PSB_UPS,9,0.3
133,PSB_DNS,9,2.2
134,GUN_UPS,9,-0.3
135,GUN_DNS,9,-0.8
136,KFB_UPS,10,3.3
137,KFS_MID,10,2.6
138,KFS_DNS,10,1.9
139,MIB_UPS,10,2.6
140,MIB_MID,10,0.9
141,MIB_DNS,10,-0.6
142,FUB_UPS,10,4.3
143,FUB_MID,10,4.9
144,FUB_DNS,10,4.5
145,CAB_UPS,10,0
146,CAB_DNS,10,0
147,PSB_UPS,10,-0.8
148,PSB_DNS,10,1.1
149,GUN_UPS,10,0.3
150,GUN_DNS,10,-0.9
151,KFB_UPS,11,2.1
152,KFS_MID,11,2.1
153,KFS_DNS,11,1.8
154,MIB_UPS,11,3.3
155,MIB_MID,11,2.1
156,MIB_DNS,11,0.4
157,FUB_UPS,11,5.5
158,FUB_MID,11,5.2
159,FUB_DNS,11,5.1
160,CAB_UPS,11,0
161,CAB_DNS,11,0
162,PSB_UPS,11,-0.1
163,PSB_DNS,11,1
164,GUN_UPS,11,-0.9
165,GUN_DNS,11,-1.3
