Survey,Site,Occasion,Trib_dis
1,KFB_UPS,1,0.015392388
2,KFS_MID,1,0.015392388
3,KFS_DNS,1,0.015392388
4,MIB_UPS,1,0.011070039
5,MIB_MID,1,0.011070039
6,MIB_DNS,1,0.011070039
7,FUB_UPS,1,0.085908873
8,FUB_MID,1,0.085908873
9,FUB_DNS,1,0.085908873
10,CAB_UPS,1,0.005233231
11,CAB_DNS,1,0.005233231
12,PSB_UPS,1,0.006366722
13,PSB_DNS,1,0.006366722
14,GUN_UPS,1,0.011323878
15,GUN_DNS,1,0.011323878
16,KFB_UPS,2,0.020640661
17,KFS_MID,2,0.020640661
18,KFS_DNS,2,0.020640661
19,MIB_UPS,2,0.016265614
20,MIB_MID,2,0.016265614
21,MIB_DNS,2,0.016265614
22,FUB_UPS,2,0.065481696
23,FUB_MID,2,0.065481696
24,FUB_DNS,2,0.065481696
25,CAB_UPS,2,0.00449649
26,CAB_DNS,2,0.00449649
27,PSB_UPS,2,0.007313765
28,PSB_DNS,2,0.007313765
29,GUN_UPS,2,0.018608021
30,GUN_DNS,2,0.018608021
31,KFB_UPS,3,0.018352089
32,KFS_MID,3,0.018352089
33,KFS_DNS,3,0.018352089
34,MIB_UPS,3,0.010979606
35,MIB_MID,3,0.010979606
36,MIB_DNS,3,0.010979606
37,FUB_UPS,3,0.0565494
38,FUB_MID,3,0.0565494
39,FUB_DNS,3,0.0565494
40,CAB_UPS,3,0.001613142
41,CAB_DNS,3,0.001613142
42,PSB_UPS,3,0.004371236
43,PSB_DNS,3,0.004371236
44,GUN_UPS,3,0.010665328
45,GUN_DNS,3,0.010665328
46,KFB_UPS,4,0.01977982
47,KFS_MID,4,0.01977982
48,KFS_DNS,4,0.01977982
49,MIB_UPS,4,0.012334504
50,MIB_MID,4,0.012334504
51,MIB_DNS,4,0.012334504
52,FUB_UPS,4,0.059112449
53,FUB_MID,4,0.059112449
54,FUB_DNS,4,0.059112449
55,CAB_UPS,4,NA
56,CAB_DNS,4,NA
57,PSB_UPS,4,0.004736752
58,PSB_DNS,4,0.004736752
59,GUN_UPS,4,0.01249913
60,GUN_DNS,4,0.01249913
61,KFB_UPS,5,0.02656944
62,KFS_MID,5,0.02656944
63,KFS_DNS,5,0.02656944
64,MIB_UPS,5,0.009262128
65,MIB_MID,5,0.009262128
66,MIB_DNS,5,0.009262128
67,FUB_UPS,5,0.057063621
68,FUB_MID,5,0.057063621
69,FUB_DNS,5,0.057063621
70,CAB_UPS,5,0.005964047
71,CAB_DNS,5,0.005964047
72,PSB_UPS,5,0.003428154
73,PSB_DNS,5,0.003428154
74,GUN_UPS,5,0.008433711
75,GUN_DNS,5,0.008433711
76,KFB_UPS,6,0.015208215
77,KFS_MID,6,0.015208215
78,KFS_DNS,6,0.015208215
79,MIB_UPS,6,0.007075111
80,MIB_MID,6,0.007075111
81,MIB_DNS,6,0.007075111
82,FUB_UPS,6,0.049575591
83,FUB_MID,6,0.049575591
84,FUB_DNS,6,0.049575591
85,CAB_UPS,6,0.002275144
86,CAB_DNS,6,0.002275144
87,PSB_UPS,6,0.003379757
88,PSB_DNS,6,0.003379757
89,GUN_UPS,6,0.007175329
90,GUN_DNS,6,0.007175329
91,KFB_UPS,7,0.020972893
92,KFS_MID,7,0.020972893
93,KFS_DNS,7,0.020972893
94,MIB_UPS,7,0.008338255
95,MIB_MID,7,0.008338255
96,MIB_DNS,7,0.008338255
97,FUB_UPS,7,0.056604733
98,FUB_MID,7,0.056604733
99,FUB_DNS,7,0.056604733
100,CAB_UPS,7,0.002523769
101,CAB_DNS,7,0.002523769
102,PSB_UPS,7,0.005219561
103,PSB_DNS,7,0.005219561
104,GUN_UPS,7,0.009568807
105,GUN_DNS,7,0.009568807
106,KFB_UPS,8,0.013959101
107,KFS_MID,8,0.013959101
108,KFS_DNS,8,0.013959101
109,MIB_UPS,8,0.006694146
110,MIB_MID,8,0.006694146
111,MIB_DNS,8,0.006694146
112,FUB_UPS,8,0.056935261
113,FUB_MID,8,0.056935261
114,FUB_DNS,8,0.056935261
115,CAB_UPS,8,0.002630832
116,CAB_DNS,8,0.002630832
117,PSB_UPS,8,0.006497224
118,PSB_DNS,8,0.006497224
119,GUN_UPS,8,0.008741996
120,GUN_DNS,8,0.008741996
121,KFB_UPS,9,0.010136188
122,KFS_MID,9,0.010136188
123,KFS_DNS,9,0.010136188
124,MIB_UPS,9,0.004616695
125,MIB_MID,9,0.004616695
126,MIB_DNS,9,0.004616695
127,FUB_UPS,9,0.043941659
128,FUB_MID,9,0.043941659
129,FUB_DNS,9,0.043941659
130,CAB_UPS,9,0.000849874
131,CAB_DNS,9,0.000849874
132,PSB_UPS,9,0.003424715
133,PSB_DNS,9,0.003424715
134,GUN_UPS,9,0.005548466
135,GUN_DNS,9,0.005548466
136,KFB_UPS,10,0.007052232
137,KFS_MID,10,0.007052232
138,KFS_DNS,10,0.007052232
139,MIB_UPS,10,0.002920584
140,MIB_MID,10,0.002920584
141,MIB_DNS,10,0.002920584
142,FUB_UPS,10,0.044671204
143,FUB_MID,10,0.044671204
144,FUB_DNS,10,0.044671204
145,CAB_UPS,10,0.000371633
146,CAB_DNS,10,0.000371633
147,PSB_UPS,10,0.00389585
148,PSB_DNS,10,0.00389585
149,GUN_UPS,10,0.004661628
150,GUN_DNS,10,0.004661628
151,KFB_UPS,11,0.00873801
152,KFS_MID,11,0.00873801
153,KFS_DNS,11,0.00873801
154,MIB_UPS,11,0.005144451
155,MIB_MID,11,0.005144451
156,MIB_DNS,11,0.005144451
157,FUB_UPS,11,0.030160559
158,FUB_MID,11,0.030160559
159,FUB_DNS,11,0.030160559
160,CAB_UPS,11,0.00018496
161,CAB_DNS,11,0.00018496
162,PSB_UPS,11,0.001959921
163,PSB_DNS,11,0.001959921
164,GUN_UPS,11,0.004430112
165,GUN_DNS,11,0.004430112
